gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000093739	Gm20692	CD103+Tom+ LP Trm	Infected	1.642120813477381	1.6421208134773815	3	2.642120813477381
ENSMUSG00000093739	Gm20692	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093739	Gm20692	CD103-Tom- LP Trm	Infected	275.6726680350826	275.67266803508267	3	276.6726680350826
ENSMUSG00000093614	Gm20693	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093614	Gm20693	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093614	Gm20693	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093614	Gm20693	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093446	Gm20694	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093446	Gm20694	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093446	Gm20694	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093446	Gm20694	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093575	Gm20695	CD103+Tom+ LP Trm	Baseline	0.7471687946159961	0.7471687946159962	3	1.747168794615996
ENSMUSG00000093575	Gm20695	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093575	Gm20695	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093575	Gm20695	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000030068	Gm20696	CD103+Tom+ LP Trm	Baseline	74.04720077356968	42.921224917287226	3	75.04720077356968
ENSMUSG00000030068	Gm20696	CD103+Tom+ LP Trm	Infected	3.5188303145943878	3.518830314594388	3	4.518830314594387
ENSMUSG00000030068	Gm20696	CD103-Tom- LP Trm	Baseline	132.8679050445897	111.49664651065504	2	133.8679050445897
ENSMUSG00000030068	Gm20696	CD103-Tom- LP Trm	Infected	4.910447745133756	3.3583690605740277	3	5.910447745133756
ENSMUSG00000093414	Gm20698	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093414	Gm20698	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093414	Gm20698	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093414	Gm20698	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093561	Gm20699	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
