gene_id	gene_name	condition	normalized_count	sem_normalized_count	raw_count	n_cells	n_samples	plot_expression
Galnt1	Galnt1	rechallenged	99.23089674051464	8.85982541940605	349.0	700	3	100.23089674051464
Gm38410	Gm38410	rechallenged	0.0	0.0	0.0	700	3	1.0
2700062C07Rik	2700062C07Rik	rechallenged	16.927910197791974	1.6728512786552054	60.0	700	3	17.927910197791974
Rprd1a	Rprd1a	rechallenged	13.29041550901733	4.647207758770236	42.0	700	3	14.29041550901733
Slc39a6	Slc39a6	rechallenged	40.61027160261121	8.353073141171809	147.0	700	3	41.61027160261121
Elp2	Elp2	rechallenged	48.132766860884466	9.077115476922552	168.0	700	3	49.132766860884466
Mocos	Mocos	rechallenged	3.0660467739073005	1.2777933565179875	12.0	700	3	4.066046773907301
Fhod3	Fhod3	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm9955	Gm9955	rechallenged	0.0	0.0	0.0	700	3	1.0
Tpgs2	Tpgs2	rechallenged	23.338532270145844	1.5702050320471304	83.0	700	3	24.338532270145844
AW554918	AW554918	rechallenged	18.052398307391872	4.745838400791976	59.0	700	3	19.052398307391872
Celf4	Celf4	rechallenged	1.063958873410334	0.7467390303976394	4.0	700	3	2.063958873410334
Gm3227	Gm3227	rechallenged	0.0	0.0	0.0	700	3	1.0
0710001A04Rik	0710001A04Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50304	Gm50304	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm33228	Gm33228	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm49976	Gm49976	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm49978	Gm49978	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm33674	Gm33674	rechallenged	0.0	0.0	0.0	700	3	1.0
BC051408	BC051408	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm33948	Gm33948	rechallenged	0.0	0.0	0.0	700	3	1.0
4930578E11Rik	4930578E11Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
4930527G23Rik	4930527G23Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm49980	Gm49980	rechallenged	5.637722890964376	1.6097777513239464	18.0	700	3	6.637722890964376
Pik3c3	Pik3c3	rechallenged	39.674566634474424	1.5603240833119005	137.0	700	3	40.674566634474424
Rit2	Rit2	rechallenged	0.0	0.0	0.0	700	3	1.0
Syt4	Syt4	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm26658	Gm26658	rechallenged	0.0	0.0	0.0	700	3	1.0
Slc25a46	Slc25a46	rechallenged	39.201378415818844	2.5703758272534096	136.0	700	3	40.201378415818844
B930094E09Rik	B930094E09Rik	rechallenged	0.2294252771226444	0.22942527712264443	1.0	700	3	1.2294252771226444
Sap130	Sap130	rechallenged	33.23928608764596	4.791515416976391	121.0	700	3	34.23928608764596
Ammecr1l	Ammecr1l	rechallenged	21.041718482392092	4.967685696285768	69.0	700	3	22.041718482392092
Gm26533	Gm26533	rechallenged	3.1839798691165266	1.1789439984136063	12.0	700	3	4.183979869116527
Polr2d	Polr2d	rechallenged	49.44561070888233	7.492775738676385	180.0	700	3	50.44561070888233
Wdr33	Wdr33	rechallenged	152.15809522260565	21.73293432184309	509.0	700	3	153.15809522260565
Sft2d3	Sft2d3	rechallenged	24.720419667468878	2.2104712951946186	85.0	700	3	25.720419667468878
Lims2	Lims2	rechallenged	0.0	0.0	0.0	700	3	1.0
Gpr17	Gpr17	rechallenged	0.0	0.0	0.0	700	3	1.0
Myo7b	Myo7b	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm16344	Gm16344	rechallenged	0.0	0.0	0.0	700	3	1.0
Iws1	Iws1	rechallenged	67.86927134348207	8.912898291143053	228.0	700	3	68.86927134348207
4933435E02Rik	4933435E02Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Proc	Proc	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm26717	Gm26717	rechallenged	0.0	0.0	0.0	700	3	1.0
Map3k2	Map3k2	rechallenged	63.31483006581544	10.5291057671998	211.0	700	3	64.31483006581544
Ercc3	Ercc3	rechallenged	23.108001814314566	1.6121798239258072	79.0	700	3	24.108001814314566
A830052D11Rik	A830052D11Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Bin1	Bin1	rechallenged	78.72249185247911	5.847304393471102	269.0	700	3	79.72249185247911
Gm35060	Gm35060	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm44577	Gm44577	rechallenged	0.0	0.0	0.0	700	3	1.0
Gypc	Gypc	rechallenged	23.172951765338667	5.066059792717205	86.0	700	3	24.172951765338667
Tslp	Tslp	rechallenged	0.0	0.0	0.0	700	3	1.0
Wdr36	Wdr36	rechallenged	62.11507119512714	5.71852625633649	211.0	700	3	63.11507119512714
2310026I22Rik	2310026I22Rik	rechallenged	0.7370284196745187	0.4003557021137553	3.0	700	3	1.7370284196745187
Camk4	Camk4	rechallenged	89.43991236419815	5.849873896819871	314.0	700	3	90.43991236419815
Stard4	Stard4	rechallenged	29.470625817960443	3.824711190405087	107.0	700	3	30.470625817960443
Nrep	Nrep	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm10549	Gm10549	rechallenged	0.0	0.0	0.0	700	3	1.0
Epb41l4aos	Epb41l4aos	rechallenged	74.86311797858626	9.116782064480011	252.0	700	3	75.86311797858626
Epb41l4a	Epb41l4a	rechallenged	0.2781778654292299	0.27817786542922995	1.0	700	3	1.27817786542923
Gm50265	Gm50265	rechallenged	0.0	0.0	0.0	700	3	1.0
Apc	Apc	rechallenged	52.99794122956939	9.880395905443278	179.0	700	3	53.99794122956939
Srp19	Srp19	rechallenged	177.4267366257094	26.544376371900196	639.0	700	3	178.4267366257094
Reep5	Reep5	rechallenged	367.1535302127445	90.6612273755818	1376.0	700	3	368.1535302127445
Pkd2l2	Pkd2l2	rechallenged	1.8766087132833	1.0334204643049942	6.0	700	3	2.8766087132833
Fam13b	Fam13b	rechallenged	68.75684128533341	13.105683717191939	233.0	700	3	69.75684128533341
Wnt8a	Wnt8a	rechallenged	0.0	0.0	0.0	700	3	1.0
Nme5	Nme5	rechallenged	0.0	0.0	0.0	700	3	1.0
4933408B17Rik	4933408B17Rik	rechallenged	0.7922219212769112	0.792221921276911	2.0	700	3	1.7922219212769113
Brd8	Brd8	rechallenged	51.92034600996883	10.3779362420045	172.0	700	3	52.92034600996883
Kif20a	Kif20a	rechallenged	6.188742887235663	3.390531566112543	24.0	700	3	7.188742887235663
Cdc23	Cdc23	rechallenged	25.553848085047935	4.455997124593056	85.0	700	3	26.553848085047935
Gfra3	Gfra3	rechallenged	0.0	0.0	0.0	700	3	1.0
Cdc25c	Cdc25c	rechallenged	1.5228094276556228	0.7718682780038987	6.0	700	3	2.5228094276556225
Gm3550	Gm3550	rechallenged	0.0	0.0	0.0	700	3	1.0
2010110K18Rik	2010110K18Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Fam53c	Fam53c	rechallenged	25.752173974400183	4.629111342442762	94.0	700	3	26.752173974400183
Kdm3b	Kdm3b	rechallenged	67.3624227205288	6.052410951649635	231.0	700	3	68.3624227205288
Reep2	Reep2	rechallenged	1.620314604268794	1.2915509702773784	6.0	700	3	2.6203146042687937
Egr1	Egr1	rechallenged	102.526399346365	19.26504131196631	354.0	700	3	103.526399346365
Etf1	Etf1	rechallenged	168.67200401511386	21.539302006047027	603.0	700	3	169.67200401511386
Hspa9	Hspa9	rechallenged	220.64118636958824	33.27150103410887	776.0	700	3	221.64118636958824
Gm36037	Gm36037	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm3587	Gm3587	rechallenged	0.0	0.0	0.0	700	3	1.0
Ctnna1	Ctnna1	rechallenged	35.297672668453956	7.302743953674133	131.0	700	3	36.297672668453956
Lrrtm2	Lrrtm2	rechallenged	0.9177011084905776	0.9177011084905777	4.0	700	3	1.9177011084905775
Gm50146	Gm50146	rechallenged	0.0	0.0	0.0	700	3	1.0
Sil1	Sil1	rechallenged	27.6481054275709	0.6552016076537159	97.0	700	3	28.6481054275709
Gm50145	Gm50145	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50149	Gm50149	rechallenged	0.0	0.0	0.0	700	3	1.0
Snhg4	Snhg4	rechallenged	54.284617563895466	11.54177847475612	188.0	700	3	55.284617563895466
Snhg4.1	Snhg4.1	rechallenged	2.426523530845953	0.641717070969663	9.0	700	3	3.426523530845953
Matr3	Matr3	rechallenged	214.5233702725615	28.578390747454534	719.0	700	3	215.5233702725615
Gm50163	Gm50163	rechallenged	1.3625646574356187	0.36568351637793484	5.0	700	3	2.3625646574356187
Paip2	Paip2	rechallenged	191.283691718072	2.3253266488828883	667.0	700	3	192.283691718072
Slc23a1	Slc23a1	rechallenged	0.0	0.0	0.0	700	3	1.0
Mzb1	Mzb1	rechallenged	19.737716064063296	13.229082968037954	81.0	700	3	20.737716064063296
Prob1	Prob1	rechallenged	0.0	0.0	0.0	700	3	1.0
Spata24	Spata24	rechallenged	8.030586017512626	2.8685653078370694	31.0	700	3	9.030586017512626
Dnajc18	Dnajc18	rechallenged	19.861282351591203	3.2687495574671113	66.0	700	3	20.861282351591203
1700066B19Rik	1700066B19Rik	rechallenged	8.918102757985439	3.9706517576623446	27.0	700	3	9.918102757985439
Ecscr	Ecscr	rechallenged	0.0	0.0	0.0	700	3	1.0
Tmem173	Tmem173	rechallenged	111.7978137732906	16.430007027043057	373.0	700	3	112.7978137732906
Ube2d2a	Ube2d2a	rechallenged	334.5793653009821	15.208056761172168	1156.0	700	3	335.5793653009821
Cxxc5	Cxxc5	rechallenged	19.407416872823053	6.389034221023635	62.0	700	3	20.407416872823053
Gm29417	Gm29417	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50399	Gm50399	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm41693	Gm41693	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm36315	Gm36315	rechallenged	0.0	0.0	0.0	700	3	1.0
C330008A17Rik	C330008A17Rik	rechallenged	0.7922219212769112	0.792221921276911	2.0	700	3	1.7922219212769113
Gm50405	Gm50405	rechallenged	0.0	0.0	0.0	700	3	1.0
Psd2	Psd2	rechallenged	0.0	0.0	0.0	700	3	1.0
Nrg2	Nrg2	rechallenged	2.495704037748593	0.5150728128661654	9.0	700	3	3.495704037748593
4930471G03Rik	4930471G03Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Pura	Pura	rechallenged	152.03407187321065	21.668884655199435	508.0	700	3	153.03407187321065
Igip	Igip	rechallenged	4.393091328737984	2.2053625669146797	13.0	700	3	5.393091328737984
Cystm1	Cystm1	rechallenged	1.703482116471682	0.9935896060115759	7.0	700	3	2.7034821164716822
Pfdn1	Pfdn1	rechallenged	119.04577381879398	16.177460157185994	431.0	700	3	120.04577381879398
Hbegf	Hbegf	rechallenged	5.326235280347478	2.7634881319354427	19.0	700	3	6.326235280347478
Gm50199	Gm50199	rechallenged	0.0	0.0	0.0	700	3	1.0
Slc4a9	Slc4a9	rechallenged	0.0	0.0	0.0	700	3	1.0
Ankhd1	Ankhd1	rechallenged	102.17709751952695	12.120348944607144	344.0	700	3	103.17709751952695
Eif4ebp3	Eif4ebp3	rechallenged	10.080321327607543	1.2020186820456888	36.0	700	3	11.080321327607543
