gene_id	gene_name	condition	normalized_count	raw_count	n_cells	plot_expression
ENSMUSG00000001138	Cnnm3	IEL_memory	567.1328235827064	691.0	5023	568.1328235827064
ENSMUSG00000067653	Ankrd23	IEL_memory	96.84757334697446	118.0	5023	97.84757334697446
ENSMUSG00000079610	Ankrd39	IEL_memory	499.01122538102095	608.0	5023	500.01122538102095
ENSMUSG00000026121	Sema4c	IEL_memory	6.565937176066066	8.0	5023	7.565937176066066
ENSMUSG00000061518	Cox5b	IEL_memory	8273.901583990251	10081.0	5023	8274.901583990251
ENSMUSG00000037351	Actr1b	IEL_memory	1156.4256851346358	1409.0	5023	1157.4256851346358
ENSMUSG00000102416	4933424G06Rik	IEL_memory	34.471170174346845	42.0	5023	35.471170174346845
ENSMUSG00000026117	Zap70	IEL_memory	3370.7879977629163	4107.0	5023	3371.7879977629163
ENSMUSG00000026116	Tmem131	IEL_memory	541.6898170254503	660.0	5023	542.6898170254503
ENSMUSG00000102930	Gm38115	IEL_memory	127.21503278628002	155.0	5023	128.21503278628
ENSMUSG00000050122	Vwa3b	IEL_memory	2.4622264410247743	3.0	5023	3.4622264410247743
ENSMUSG00000026113	Inpp4a	IEL_memory	1013.6165515551988	1235.0	5023	1014.6165515551988
ENSMUSG00000026112	Coa5	IEL_memory	946.3156955005217	1153.0	5023	947.3156955005217
ENSMUSG00000026111	Unc50	IEL_memory	1032.4936209363887	1258.0	5023	1033.4936209363887
ENSMUSG00000026110	Mgat4a	IEL_memory	1254.0940006286185	1528.0	5023	1255.0940006286185
ENSMUSG00000026090	2010300C02Rik	IEL_memory	116.54538487517266	142.0	5023	117.54538487517266
ENSMUSG00000089767	4930556I23Rik	IEL_memory	9.848905764099097	12.0	5023	10.848905764099097
ENSMUSG00000060771	Tsga10	IEL_memory	91.10237831791666	111.0	5023	92.10237831791666
ENSMUSG00000037216	Lipt1	IEL_memory	53.34823955553678	65.0	5023	54.34823955553678
ENSMUSG00000026088	Mitd1	IEL_memory	1910.687718235225	2328.0	5023	1911.687718235225
ENSMUSG00000026087	Mrpl30	IEL_memory	2523.782102050394	3075.0	5023	2524.782102050394
ENSMUSG00000058407	Txndc9	IEL_memory	1666.106558426764	2030.0	5023	1667.106558426764
ENSMUSG00000026083	Eif5b	IEL_memory	5227.3067342955965	6369.0	5023	5228.3067342955965
ENSMUSG00000026082	Rev1	IEL_memory	691.0648877809533	842.0	5023	692.0648877809533
ENSMUSG00000103804	Gm37062	IEL_memory	1.6414842940165164	2.0	5023	2.641484294016516
ENSMUSG00000037138	Aff3	IEL_memory	94.38534690594969	115.0	5023	95.38534690594969
ENSMUSG00000087131	Gm16152	IEL_memory	27.08449085127252	33.0	5023	28.08449085127252
ENSMUSG00000026080	Chst10	IEL_memory	256.8922920135848	313.0	5023	257.8922920135848
ENSMUSG00000026078	Pdcl3	IEL_memory	1228.6509940713624	1497.0	5023	1229.6509940713624
ENSMUSG00000026077	Npas2	IEL_memory	3.282968588033033	4.0	5023	4.282968588033032
ENSMUSG00000073702	Rpl31	IEL_memory	26036.403129542974	31723.0	5023	26037.403129542974
ENSMUSG00000003134	Tbc1d8	IEL_memory	1.6414842940165164	2.0	5023	2.641484294016516
ENSMUSG00000003135	Cnot11	IEL_memory	782.1672660988701	953.0	5023	783.1672660988701
ENSMUSG00000085894	Gm15832	IEL_memory	147.73358646148645	180.0	5023	148.73358646148645
ENSMUSG00000048234	Rnf149	IEL_memory	2308.74765953423	2813.0	5023	2309.74765953423
ENSMUSG00000050967	Creg2	IEL_memory	2.4622264410247743	3.0	5023	3.4622264410247743
ENSMUSG00000026074	Map4k4	IEL_memory	4184.1434654481	5098.0	5023	4185.1434654481
ENSMUSG00000026073	Il1r2	IEL_memory	0.0	0.0	5023	1.0
ENSMUSG00000097899	Gm16894	IEL_memory	3.282968588033033	4.0	5023	4.282968588033032
ENSMUSG00000026072	Il1r1	IEL_memory	5.745195029057807	7.0	5023	6.745195029057807
ENSMUSG00000070942	Il1rl2	IEL_memory	235.55299619137008	287.0	5023	236.55299619137008
ENSMUSG00000026069	Il1rl1	IEL_memory	9.02816361709084	11.0	5023	10.02816361709084
ENSMUSG00000026070	Il18r1	IEL_memory	2264.427583595784	2759.0	5023	2265.427583595784
ENSMUSG00000026068	Il18rap	IEL_memory	1264.7636485397259	1541.0	5023	1265.7636485397259
ENSMUSG00000026062	Slc9a2	IEL_memory	3.282968588033033	4.0	5023	4.282968588033032
ENSMUSG00000041945	Mfsd9	IEL_memory	21.339295822214712	26.0	5023	22.339295822214712
ENSMUSG00000060679	Mrps9	IEL_memory	1059.5781117876613	1291.0	5023	1060.5781117876613
ENSMUSG00000041907	Gpr45	IEL_memory	6.565937176066066	8.0	5023	7.565937176066066
ENSMUSG00000070939	Tgfbrap1	IEL_memory	412.83329994515384	503.0	5023	413.83329994515384
ENSMUSG00000041878	8430432A02Rik	IEL_memory	9.848905764099097	12.0	5023	10.848905764099097
ENSMUSG00000010290	AI597479	IEL_memory	212.57221607513887	259.0	5023	213.57221607513887
ENSMUSG00000008136	Fhl2	IEL_memory	334.0420538323611	407.0	5023	335.0420538323611
ENSMUSG00000066877	Nck2	IEL_memory	170.7143665777177	208.0	5023	171.7143665777177
ENSMUSG00000100764	Gm29155	IEL_memory	2.4622264410247743	3.0	5023	3.4622264410247743
ENSMUSG00000100635	Gm29157	IEL_memory	1.6414842940165164	2.0	5023	2.641484294016516
ENSMUSG00000100480	Gm29156	IEL_memory	1.6414842940165164	2.0	5023	2.641484294016516
ENSMUSG00000057363	Uxs1	IEL_memory	443.2007593844594	540.0	5023	444.2007593844594
ENSMUSG00000041763	Tpp2	IEL_memory	3802.4983670892602	4633.0	5023	3803.4983670892602
ENSMUSG00000047343	Mettl21c	IEL_memory	92.74386261193317	113.0	5023	93.74386261193317
ENSMUSG00000091844	Gm8251	IEL_memory	126.39429063927176	154.0	5023	127.39429063927176
ENSMUSG00000026049	Tex30	IEL_memory	698.4515671040277	851.0	5023	699.4515671040277
ENSMUSG00000026047	Poglut2	IEL_memory	185.48772522386633	226.0	5023	186.48772522386633
ENSMUSG00000041684	Bivm	IEL_memory	266.7411977776839	325.0	5023	267.7411977776839
ENSMUSG00000026048	Ercc5	IEL_memory	930.7215947073647	1134.0	5023	931.7215947073647
ENSMUSG00000025995	Wdr75	IEL_memory	872.4489022697784	1063.0	5023	873.4489022697784
ENSMUSG00000025993	Slc40a1	IEL_memory	2.4622264410247743	3.0	5023	3.4622264410247743
ENSMUSG00000025986	Slc39a10	IEL_memory	525.2749740852852	640.0	5023	526.2749740852852
ENSMUSG00000100213	Gm28151	IEL_memory	14.773358646148647	18.0	5023	15.773358646148647
ENSMUSG00000101702	1700072G22Rik	IEL_memory	1.6414842940165164	2.0	5023	2.641484294016516
ENSMUSG00000026107	Nabp1	IEL_memory	6691.510724558329	8153.0	5023	6692.510724558329
ENSMUSG00000099413	Gm17767	IEL_memory	9.848905764099097	12.0	5023	10.848905764099097
ENSMUSG00000018417	Myo1b	IEL_memory	2.4622264410247743	3.0	5023	3.4622264410247743
ENSMUSG00000062939	Stat4	IEL_memory	6958.251922336012	8478.0	5023	6959.251922336012
ENSMUSG00000109599	Gm31812	IEL_memory	7.386679323074324	9.0	5023	8.386679323074324
ENSMUSG00000026104	Stat1	IEL_memory	10573.62107990739	12883.0	5023	10574.62107990739
ENSMUSG00000026103	Gls	IEL_memory	5762.430614144981	7021.0	5023	5763.430614144981
ENSMUSG00000002881	Nab1	IEL_memory	3294.4589780911483	4014.0	5023	3295.4589780911483
ENSMUSG00000043015	Nemp2	IEL_memory	562.2083707006568	685.0	5023	563.2083707006568
ENSMUSG00000041439	Mfsd6	IEL_memory	1219.6228304542717	1486.0	5023	1220.6228304542717
ENSMUSG00000100302	Gm29670	IEL_memory	34.471170174346845	42.0	5023	35.471170174346845
ENSMUSG00000026102	Inpp1	IEL_memory	1899.1973281771093	2314.0	5023	1900.1973281771093
ENSMUSG00000041426	Hibch	IEL_memory	615.5566102561936	750.0	5023	616.5566102561936
ENSMUSG00000043629	1700019D03Rik	IEL_memory	25.443006557256002	31.0	5023	26.443006557256002
ENSMUSG00000026098	Pms1	IEL_memory	479.31341385282275	584.0	5023	480.31341385282275
ENSMUSG00000026097	Ormdl1	IEL_memory	864.2414807996959	1053.0	5023	865.2414807996959
ENSMUSG00000026096	Osgepl1	IEL_memory	229.80780116231227	280.0	5023	230.80780116231227
ENSMUSG00000026095	Asnsd1	IEL_memory	1477.3358646148647	1800.0	5023	1478.3358646148647
ENSMUSG00000096141	Dnah7a	IEL_memory	0.0	0.0	5023	1.0
ENSMUSG00000026094	Stk17b	IEL_memory	23020.99648143463	28049.0	5023	23021.99648143463
ENSMUSG00000042807	Hecw2	IEL_memory	4.924452882049549	6.0	5023	5.924452882049549
ENSMUSG00000041303	Gtf3c3	IEL_memory	361.9472868306419	441.0	5023	362.9472868306419
ENSMUSG00000073678	Pgap1	IEL_memory	363.58877112465836	443.0	5023	364.58877112465836
ENSMUSG00000052331	Ankrd44	IEL_memory	6908.186651368509	8417.0	5023	6909.186651368509
ENSMUSG00000101674	4930444A19Rik	IEL_memory	8.207421470082581	10.0	5023	9.207421470082581
ENSMUSG00000025982	Sf3b1	IEL_memory	11784.21574674457	14358.0	5023	11785.21574674457
ENSMUSG00000025981	Coq10b	IEL_memory	6432.156206103719	7837.0	5023	6433.156206103719
ENSMUSG00000025980	Hspd1	IEL_memory	9685.578076844455	11801.0	5023	9686.578076844455
ENSMUSG00000073676	Hspe1	IEL_memory	18309.93655760723	22309.0	5023	18310.93655760723
